datetime,productHumidity,processIsOn,inputTemperatureProduct,waterFlowProcess,intensityFanProcess,waterTemperatureProcess,temperatureProcess1,temperatureProcess2
2014-05-21T04:54:00-04:00,,0,43.8,0.0,0.0,36.85,20.5,22.2
2014-05-21T04:55:00-04:00,,0,43.75,0.0,0.0,36.8,20.55,22.15
2014-05-21T04:56:00-04:00,,0,44.55,0.0,0.0,37.1,20.55,22.15
2014-05-21T04:57:00-04:00,,0,44.55,0.0,0.0,36.65,20.5,22.15
2014-05-21T04:58:00-04:00,,0,44.3,0.0,0.0,36.55,20.5,22.15
2014-05-21T04:59:00-04:00,,0,44.25,0.0,0.0,36.4,20.5,22.15
2014-05-21T05:00:00-04:00,,0,44.3,0.0,0.0,36.3,20.5,22.15
2014-05-21T05:01:00-04:00,,0,44.2,0.0,0.0,35.95,20.5,22.1
2014-05-21T05:02:00-04:00,,0,44.1,0.0,0.0,35.8,20.5,22.1
2014-05-21T05:03:00-04:00,,0,43.85,0.0,0.0,37.05,20.45,22.1
2014-05-21T05:04:00-04:00,,0,44.05,0.0,0.0,37.3,20.45,22.1
2014-05-21T05:05:00-04:00,,0,44.3,0.0,0.0,37.5,20.45,22.05
2014-05-21T05:06:00-04:00,,0,44.25,0.0,0.0,37.6,20.45,22.05
2014-05-21T05:07:00-04:00,,0,44.0,12.666666666666666,0.0,37.7,20.45,22.05
2014-05-21T05:08:00-04:00,,0,44.65,12.666666666666666,0.0,38.05,20.45,22.0
2014-05-21T05:09:00-04:00,,0,44.95,13.333333333333334,0.0,38.35,20.5,22.05
2014-05-21T05:10:00-04:00,,0,45.1,13.333333333333334,0.0,38.55,20.45,22.0
2014-05-21T05:11:00-04:00,,0,45.3,13.333333333333334,0.0,38.05,20.45,22.05
2014-05-21T05:12:00-04:00,,0,45.2,13.333333333333334,0.0,37.95,20.45,22.0
2014-05-21T05:13:00-04:00,,0,45.3,13.333333333333334,0.0,37.6,20.45,22.0
2014-05-21T05:14:00-04:00,,0,42.65,13.333333333333334,0.0,37.3,20.45,22.0
2014-05-21T05:15:00-04:00,,0,40.75,13.333333333333334,0.0,36.95,20.4,22.0
2014-05-21T05:16:00-04:00,,0,40.7,13.333333333333334,0.0,36.6,20.45,21.95
2014-05-21T05:17:00-04:00,,0,40.6,13.333333333333334,0.0,36.25,20.45,21.95
2014-05-21T05:18:00-04:00,,0,40.3,13.333333333333334,0.0,35.9,20.45,21.95
2014-05-21T05:19:00-04:00,,0,40.0,13.333333333333334,0.0,35.6,20.4,21.9
2014-05-21T05:20:00-04:00,,0,39.8,11.333333333333334,0.0,35.35,20.4,21.95
2014-05-21T05:21:00-04:00,,0,39.2,13.333333333333334,0.0,34.5,20.4,21.9
2014-05-21T05:22:00-04:00,,0,39.35,11.333333333333334,0.0,35.65,20.45,21.9
2014-05-21T05:23:00-04:00,,0,39.3,12.0,0.0,36.75,21.9,22.7
2014-05-21T05:24:00-04:00,,0,39.45,13.333333333333334,0.0,37.8,22.2,22.95
2014-05-21T05:25:00-04:00,,0,39.6,14.0,0.0,38.0,22.0,22.85
2014-05-21T05:26:00-04:00,,0,39.7,12.666666666666666,0.0,37.75,21.55,22.7
2014-05-21T05:27:00-04:00,,0,37.0,14.0,0.0,37.9,21.1,22.55
2014-05-21T05:28:00-04:00,,0,39.7,14.0,53.2,38.0,28.05,26.05
2014-05-21T05:29:00-04:00,,0,40.4,14.0,51.95,38.0,32.15,30.85
2014-05-21T05:30:00-04:00,,0,40.95,12.666666666666666,50.3,37.75,37.75,36.85
2014-05-21T05:31:00-04:00,,0,41.3,14.0,51.75,37.6,44.3,47.65
2014-05-21T05:32:00-04:00,,0,41.2,14.0,51.75,37.45,49.4,66.35
2014-05-21T05:33:00-04:00,,0,40.1,14.0,53.2,37.45,51.9,70.85
2014-05-21T05:34:00-04:00,,0,39.35,14.0,51.8,37.45,52.85,71.8
2014-05-21T05:35:00-04:00,,0,38.6,14.0,53.25,37.5,53.45,71.85
2014-05-21T05:36:00-04:00,,0,37.9,14.0,52.0,40.35,53.85,71.75
2014-05-21T05:37:00-04:00,,0,38.1,14.0,51.7,43.95,53.25,65.75
2014-05-21T05:38:00-04:00,,0,38.65,14.0,51.75,45.95,53.0,61.75
2014-05-21T05:39:00-04:00,,0,39.3,14.0,51.7,47.35,53.1,60.2
2014-05-21T05:40:00-04:00,,0,39.8,14.0,51.95,48.55,53.15,59.5
2014-05-21T05:41:00-04:00,,0,40.15,14.0,51.8,49.45,53.15,59.25
2014-05-21T05:42:00-04:00,,0,39.9,14.0,51.85,50.15,53.3,59.2
2014-05-21T05:43:00-04:00,,0,39.3,14.0,51.65,50.6,53.2,59.15
2014-05-21T05:44:00-04:00,,0,38.6,12.666666666666666,51.75,51.0,53.35,59.0
2014-05-21T05:45:00-04:00,,0,38.05,14.0,53.2,51.3,53.25,58.95
2014-05-21T05:46:00-04:00,,0,37.55,14.0,50.25,51.5,53.15,58.85
2014-05-21T05:47:00-04:00,,0,37.5,14.0,53.05,51.7,53.15,58.7
2014-05-21T05:48:00-04:00,,0,37.8,14.0,50.25,51.9,53.0,58.55
2014-05-21T05:49:00-04:00,,0,38.25,14.0,53.15,52.05,52.95,58.4
2014-05-21T05:50:00-04:00,,0,38.7,14.0,50.3,52.1,52.9,58.2
2014-05-21T05:51:00-04:00,,0,39.0,14.0,51.85,52.2,52.75,58.05
2014-05-21T05:52:00-04:00,,0,38.9,14.0,52.15,52.25,52.7,57.95
2014-05-21T05:53:00-04:00,,0,38.45,12.666666666666666,52.8,52.3,52.65,57.85
2014-05-21T05:54:00-04:00,,0,37.9,14.0,51.8,52.3,52.65,57.7
2014-05-21T05:55:00-04:00,,0,37.4,13.333333333333334,51.8,52.35,52.45,57.6
2014-05-21T05:56:00-04:00,,0,37.05,14.0,51.95,52.4,52.45,57.6
2014-05-21T05:57:00-04:00,,0,37.05,14.0,51.35,52.4,52.5,57.5
2014-05-21T05:58:00-04:00,,0,37.35,14.0,51.75,52.4,52.65,57.55
